jointP_1,jointP_2,jointP_3,jointP_4,jointP_5,jointP_6,jointP_7,jointP_8,jointP_9,H1,P1_1,P1_2,P1_3,H2,P2_1,P2_2,P2_3,I,domPair1_1,domPair1_2,domPair2_1,domPair2_2,pval,beta,padj
0.0799456725365305,0.24836080929187,0.0561071562382915,0.152795991007868,0.0566925814911952,0.0602988010490821,0.0772292993630573,0.0760584488572499,0.192511240164856,1.57771036250641,0.309970962907456,0.381111839640315,0.308917197452229,1.56989831564786,0.384413638066692,0.269787373548145,0.345798988385163,0.205164736736517,SC,SM,SC,VIS,0.000613385248063,-0.384226102655027,0.003066926240315
0.142211502435369,0.134811727238666,0.0888909704008992,0.186258898463844,0.153662420382166,0.0364134507306107,0.0511895841139003,0.0483327088797302,0.158228737354815,1.57483727133835,0.379659985013114,0.336806856500562,0.283533158486324,1.56547708368362,0.365914200074934,0.37633476957662,0.257751030348445,0.147523833027253,SM,VIS,VIS,VIS,0.345894142338532,0.106643752379785,0.384326824820591
0.253348632446609,0.0929889471712252,0.0756837766953915,0.0466701011614837,0.120269763956538,0.0875093668040465,0.101512738853503,0.0434619707755714,0.178554702135631,1.56156435337785,0.401531472461596,0.256720681903335,0.341747845635069,1.5543916613969,0.422021356313226,0.254449231922068,0.323529411764706,0.156784143489757,SM,ATTN,VIS,ATTN,0.00981409707421995,-0.290812663733177,0.0327136569140665
0.0717028849756463,0.0934572873735482,0.141602660172349,0.105680966654178,0.10329243162233,0.1528428250281,0.224147620831772,0.059970962907456,0.0473023604346197,1.56156435337785,0.401531472461596,0.256720681903335,0.341747845635069,1.58167682054527,0.306762832521544,0.361816223304608,0.331420944173848,0.121324571561136,SM,ATTN,ATTN,ATTN,3.91583977581315e-05,-0.45935690135387,0.000391583977581315
0.116195204196328,0.0725693143499438,0.0473257774447359,0.0857530910453353,0.214710565754964,0.0914902585237917,0.092801611090296,0.0785406519295616,0.200613525665043,1.5793157716618,0.29474990633196,0.36582053203447,0.339429561633571,1.55200991825677,0.236090295991008,0.391953915324091,0.371955788684901,0.119981666109703,SM,FRN,SM,DMN,0.310399625050727,0.114754333114496,0.384326824820591
0.0683074185088048,0.0771356313225927,0.185322218059198,0.152023229674035,0.0448904083926564,0.0730376545522668,0.0744192581491195,0.243794492319221,0.0810696890221057,1.5793157716618,0.29474990633196,0.36582053203447,0.339429561633571,1.56679782362527,0.330765267890596,0.269951292618958,0.399283439490446,0.186737205905875,SM,FRN,VIS,FRN,0.0227064563697304,-0.25688355614771,0.0567661409243259
0.0407455976020982,0.097063506931435,0.196538965904833,0.0684479205695017,0.231523979018359,0.0895232296740352,0.126896777819408,0.0633664293742975,0.0858935931060322,1.55200991825677,0.236090295991008,0.391953915324091,0.371955788684901,1.57097073158681,0.334348070438366,0.389495129261896,0.276156800299738,0.147431770452397,SM,DMN,VIS,DMN,0.0347696150859258,-0.238159681110011,0.0695392301718517
0.10706257025103,0.105774634694642,0.0939256275758711,0.0869941925814912,0.103128512551517,0.1716935181716,0.227964593480704,0.0455460846759086,0.0579102660172349,1.5543916613969,0.422021356313226,0.254449231922068,0.323529411764706,1.58167682054527,0.306762832521544,0.361816223304608,0.331420944173848,0.119436245019341,VIS,ATTN,ATTN,ATTN,0.0611563942708879,-0.211394831359142,0.101927323784813
0.1761895841139,0.0778849756463095,0.0802735106781566,0.0863619333083552,0.0618911577369801,0.241242038216561,0.0682137504683402,0.130175159235669,0.0777678905957287,1.56679782362527,0.330765267890596,0.269951292618958,0.399283439490446,1.57097073158681,0.334348070438366,0.389495129261896,0.276156800299738,0.135333682788901,VIS,FRN,VIS,DMN,0.158354663794632,0.159457216676975,0.226220948278045
0.0729908205320345,0.0768312101910828,0.0417056950168603,0.0975552641438741,0.124156987635819,0.19984076433121,0.238057324840764,0.0534844511052829,0.0953774822030723,1.55883880401594,0.408603409516673,0.254472648932184,0.336923941551143,1.51205813950127,0.191527725739978,0.421553016110903,0.38691925814912,0.1119519585939,FRN,DMN,DMN,DMN,0.434184691867716,-0.0885008018574357,0.434184691867716
